Ward Code,Borough,Ward,b_w,All people,White,Mixed,Asian,Black,Chinese/Other,White British,White Irish,White Other White,Mixed White and Black Caribbean,Mixed White and Black African,Mixed White and Asian,Mixed Other Mixed,Asian or Asian British Indian,Asian or Asian British Pakistani,Asian or Asian British Bangladeshi,Asian or Asian British Other Asian,Black or Black British Black Caribbean,Black or Black British Black African,Black or Black British Other Black,Chinese or other ethnic group Chinese,Chinese or other ethnic group Other Ethnic Group,% White,% Mixed,% Asian,% Black,% Chinese/Other,% White British,% White Irish,% White Other White,% Mixed White and Black Caribbean,% Mixed White and Black African,% Mixed White and Asian,% Mixed Other Mixed,% Asian or Asian British Indian,% Asian or Asian British Pakistani,% Asian or Asian British Bangladeshi,% Asian or Asian British Other Asian,% Black or Black British Black Caribbean,% Black or Black British Black African,% Black or Black British Other Black,% Chinese or other ethnic group Chinese,% Chinese or other ethnic group Other Ethnic Group
H,,London,London,7172092,5103203,226110,866691,782854,193234,4287861,220488,594854,70925,34188,59942,61055,436992,142748,153893,133058,343567,378934,60353,80201,113033,71.2,3.2,12.1,10.9,2.7,59.8,3.1,8.3,1,0.5,0.8,0.9,6.1,2,2.1,1.9,4.8,5.3,0.8,1.1,1.6
941,,England and Wales,England and Wales,52041916,47520866,661034,2273737,1139577,446702,45533741,641804,1345321,237420,78911,189015,155688,1036807,714826,280830,241274,563843,479665,96069,226948,219754,91.3,1.3,4.4,2.2,0.9,87.5,1.2,2.6,0.5,0.2,0.4,0.3,2,1.4,0.5,0.5,1.1,0.9,0.2,0.4,0.4
00ABFX,Barking and Dagenham,Abbey,Barking and DagenhamAbbey,10206,5548,327,2659,1457,215,4713,186,649,89,84,62,92,902,1368,174,215,439,941,77,75,140,54.4,3.2,26.1,14.3,2.1,46.2,1.8,6.4,0.9,0.8,0.6,0.9,8.8,13.4,1.7,2.1,4.3,9.2,0.8,0.7,1.4
00ABGN,Barking and Dagenham,Village,Barking and DagenhamVillage,9720,8740,175,167,584,54,8405,149,186,88,30,22,35,80,68,10,9,143,384,57,16,38,89.9,1.8,1.7,6,0.6,86.5,1.5,1.9,0.9,0.3,0.2,0.4,0.8,0.7,0.1,0.1,1.5,4,0.6,0.2,0.4
00ACFX,Barnet,Brunswick Park,BarnetBrunswick Park,14668,11582,370,1751,571,394,9274,460,1848,81,60,117,112,1125,151,102,373,206,324,41,241,153,79,2.5,11.9,3.9,2.7,63.2,3.1,12.6,0.6,0.4,0.8,0.8,7.7,1,0.7,2.5,1.4,2.2,0.3,1.6,1
00ACGE,Barnet,Edgware,BarnetEdgware,14816,10828,331,2333,862,462,9482,337,1009,67,67,93,104,1801,197,79,256,147,685,30,243,219,73.1,2.2,15.7,5.8,3.1,64,2.3,6.8,0.5,0.5,0.6,0.7,12.2,1.3,0.5,1.7,1,4.6,0.2,1.6,1.5
00ADGR,Bexley,North End,BexleyNorth End,10465,9609,163,236,373,84,9222,114,273,49,21,51,42,150,9,22,55,119,235,19,58,26,91.8,1.6,2.3,3.6,0.8,88.1,1.1,2.6,0.5,0.2,0.5,0.4,1.4,0.1,0.2,0.5,1.1,2.2,0.2,0.6,0.2
00ADGT,Bexley,St Mary`s,BexleySt Mary`s,10043,9535,104,262,48,94,9258,121,156,33,6,36,29,189,5,16,52,22,21,5,81,13,94.9,1,2.6,0.5,0.9,92.2,1.2,1.6,0.3,0.1,0.4,0.3,1.9,0,0.2,0.5,0.2,0.2,0,0.8,0.1
00AEGK,Brent,Barnhill,BrentBarnhill,13188,5923,429,3758,2273,805,4319,634,970,120,55,133,121,2581,506,70,601,1038,1088,147,267,538,44.9,3.3,28.5,17.2,6.1,32.7,4.8,7.4,0.9,0.4,1,0.9,19.6,3.8,0.5,4.6,7.9,8.2,1.1,2,4.1
00AEGT,Brent,Kilburn,BrentKilburn,14172,7934,616,1256,3824,542,5000,1291,1643,184,160,117,155,543,386,68,259,1844,1619,361,232,310,56,4.3,8.9,27,3.8,35.3,9.1,11.6,1.3,1.1,0.8,1.1,3.8,2.7,0.5,1.8,13,11.4,2.5,1.6,2.2
